INFO  - 2014-06-12 17:11:34.504; org.apache.solr.core.RequestHandlers; created /debug/dump: solr.DumpRequestHandler
INFO  - 2014-06-12 17:11:34.514; org.apache.solr.core.RequestHandlers; created /replication: solr.ReplicationHandler
INFO  - 2014-06-12 17:11:34.514; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2014-06-12 17:11:34.514; org.apache.solr.core.RequestHandlers; created /spell: solr.SearchHandler
INFO  - 2014-06-12 17:11:34.515; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2014-06-12 17:11:34.515; org.apache.solr.core.RequestHandlers; created /suggest: solr.SearchHandler
INFO  - 2014-06-12 17:11:34.515; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2014-06-12 17:11:34.515; org.apache.solr.core.RequestHandlers; created /tvrh: solr.SearchHandler
INFO  - 2014-06-12 17:11:34.515; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2014-06-12 17:11:34.516; org.apache.solr.core.RequestHandlers; created /terms: solr.SearchHandler
INFO  - 2014-06-12 17:11:34.516; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2014-06-12 17:11:34.516; org.apache.solr.core.RequestHandlers; created /elevate: solr.SearchHandler
INFO  - 2014-06-12 17:11:34.541; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2014-06-12 17:11:34.543; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2014-06-12 17:11:34.544; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2014-06-12 17:11:34.562; org.apache.solr.update.CommitTracker; Hard AutoCommit: if uncommited for 15000ms; 
INFO  - 2014-06-12 17:11:34.562; org.apache.solr.update.CommitTracker; Soft AutoCommit: disabled
INFO  - 2014-06-12 17:11:34.571; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onInit: commits: num=1
	commit{dir=NRTCachingDirectory(MMapDirectory@/u/data/u88/du25/summer_research/solr-4.8.1/example/solr/collection1/data/index lockFactory=NativeFSLockFactory@/u/data/u88/du25/summer_research/solr-4.8.1/example/solr/collection1/data/index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2014-06-12 17:11:34.571; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2014-06-12 17:11:34.578; org.apache.solr.search.SolrIndexSearcher; Opening Searcher@4882a72a[collection1] main
INFO  - 2014-06-12 17:11:34.585; org.apache.solr.rest.ManagedResourceStorage$FileStorageIO; File-based storage initialized to use dir: /u/data/u88/du25/summer_research/solr-4.8.1/example/solr/collection1/conf
INFO  - 2014-06-12 17:11:34.585; org.apache.solr.rest.RestManager; Initializing RestManager with initArgs: {storageDir=/u/data/u88/du25/summer_research/solr-4.8.1/example/solr/collection1/conf/}
INFO  - 2014-06-12 17:11:34.587; org.apache.solr.rest.ManagedResourceStorage; Reading _rest_managed.json using file:dir=/u/data/u88/du25/summer_research/solr-4.8.1/example/solr/collection1/conf
WARN  - 2014-06-12 17:11:34.587; org.apache.solr.rest.ManagedResource; No stored data found for /rest/managed
WARN  - 2014-06-12 17:11:34.587; org.apache.solr.rest.ManagedResource; No registered observers for /rest/managed
INFO  - 2014-06-12 17:11:34.588; org.apache.solr.rest.RestManager; Initializing 2 registered ManagedResources
INFO  - 2014-06-12 17:11:34.588; org.apache.solr.rest.ManagedResourceStorage; Reading _schema_analysis_stopwords_english.json using file:dir=/u/data/u88/du25/summer_research/solr-4.8.1/example/solr/collection1/conf
INFO  - 2014-06-12 17:11:34.604; org.apache.solr.rest.ManagedResourceStorage; Loaded LinkedHashMap at path _schema_analysis_stopwords_english.json using file:dir=/u/data/u88/du25/summer_research/solr-4.8.1/example/solr/collection1/conf
